,nationality,year,mean_points,sd_points,mean_rank,sd_rank,mean_wins,sd_wins,sum_wins
119,Russian,2014.0,0.42105263157894735,0.7685331969757724,11.31578947368421,5.437039958357114,0.0,0.0,0.0
120,Russian,2015.0,5.0,5.577733510227169,8.210526315789474,4.916852509125246,0.0,0.0,0.0
121,Russian,2016.0,1.1904761904761905,3.4441116070628084,11.952380952380953,6.659400802446046,0.0,0.0,0.0
122,Russian,2017.0,0.3333333333333333,0.7237468644557459,11.6,4.610546915187271,0.0,0.0,0.0
123,Russian,2018.0,0.047619047619047616,0.21821789023599236,13.666666666666666,5.816642788871715,0.0,0.0,0.0
124,Russian,2019.0,1.7619047619047619,3.520010822494185,10.476190476190476,4.728837569837302,0.0,0.0,0.0
125,Russian,2020.0,1.8823529411764706,3.3332107820609034,12.705882352941176,3.7544091725988156,0.0,0.0,0.0
126,Russian,2021.0,0.0,0.0,15.318181818181818,7.50483249796495,0.0,0.0,0.0
127,Spanish,2012.0,6.95,8.811269008404041,12.675,8.962564594052537,1.075,1.308502765445869,43.0
128,Spanish,2013.0,12.736842105263158,7.232965468857445,5.0,3.5118845842842465,1.6842105263157894,0.6710382982072028,32.0
129,Spanish,2014.0,8.473684210526315,4.718385093942294,6.421052631578948,4.113876105109041,0.0,0.0,0.0
130,Spanish,2015.0,0.58,1.7506849971321718,12.92,5.659883895830877,0.0,0.0,0.0
131,Spanish,2016.0,2.4390243902439024,3.2943040273159743,11.073170731707316,5.198029645463937,0.0,0.0,0.0
132,Spanish,2017.0,1.8205128205128205,3.01637456552865,10.435897435897436,6.073215015194401,0.0,0.0,0.0
133,Spanish,2018.0,2.4523809523809526,2.9894316365945284,10.69047619047619,4.5181913888467085,0.0,0.0,0.0
134,Spanish,2019.0,4.571428571428571,4.621378891320519,10.619047619047619,4.862881763689001,0.0,0.0,0.0
135,Spanish,2020.0,6.176470588235294,5.364644607493202,6.882352941176471,5.097577279222656,0.0,0.0,0.0
136,Spanish,2021.0,5.556818181818182,4.926454346818779,8.159090909090908,4.131237676015433,0.0,0.0,0.0
137,Spanish,2022.0,7.0227272727272725,6.825017714820306,6.7272727272727275,5.621237289785596,0.29545454545454547,0.4615215208036401,13.0
138,Swedish,2014.0,0.0,0.0,18.0625,3.1930915009334346,0.0,0.0,0.0
139,Swedish,2015.0,0.47368421052631576,1.020262550775348,10.894736842105264,4.420843771173418,0.0,0.0,0.0
140,Swedish,2016.0,0.0,0.0,17.285714285714285,3.148695875165735,0.0,0.0,0.0
141,Swedish,2017.0,0.0,0.0,15.0,3.0087591427276736,0.0,0.0,0.0
142,Swedish,2018.0,0.42857142857142855,0.7464200272921789,14.047619047619047,3.968326983455251,0.0,0.0,0.0
143,Thai,2019.0,4.380952380952381,4.57685689612632,8.904761904761905,4.668027012612094,0.0,0.0,0.0
144,Thai,2020.0,6.176470588235294,5.514019565136298,7.411764705882353,4.556023808231962,0.0,0.0,0.0
145,Thai,2022.0,0.19047619047619047,0.511766315719159,12.952380952380953,5.2199251955961055,0.0,0.0,0.0
146,Venezuelan,2012.0,2.25,5.892680562403354,9.95,6.353407705608401,0.8,0.41039134083406165,16.0
147,Venezuelan,2013.0,0.05263157894736842,0.22941573387056174,14.0,4.346134936801766,0.0,0.0,0.0
148,Venezuelan,2014.0,0.10526315789473684,0.45883146774112354,13.368421052631579,5.41818467258166,0.0,0.0,0.0
149,Venezuelan,2015.0,1.4210526315789473,2.3878346647045965,7.157894736842105,6.048536626460769,0.0,0.0,0.0
